구분,항목,상태,행수,파일,수정시각,다음 행동
환경,.env 파일,없음,0,-,-,GitHub 폴더 안에도 .env를 복사하세요.
API 키,GNEWS_API_KEY,인식됨,1,.env 또는 환경변수,-,정상
API 키,FINNHUB_API_KEY,인식됨,1,.env 또는 환경변수,-,정상
API 키,DART_API_KEY,인식됨,1,.env 또는 환경변수,-,정상
API 키,OPENAI_API_KEY,미설정,0,.env 또는 환경변수,-,AI 요약이 필요할 때만 설정
API 키,ANTHROPIC_API_KEY,미설정,0,.env 또는 환경변수,-,AI 요약이 필요할 때만 설정
GitHub,로컬 Git 동기화,정상,99,/home/runner/work/agnas-stock-app/agnas-stock-app,-,변경 파일 99개 있음
GitHub,Actions 마지막 실행,없음,0,reports/cloud_accumulator_last_run.json,-,GitHub Actions 자동 실행 후 Pull/동기화하세요.
뉴스,GNews 직접 테스트,0건,0,GGNews API,2026-05-25 19:29:07,호출은 성공했지만 모든 테스트가 0건입니다. search:stock market=0; search:Nasdaq stocks=0; top-headlines:top:business=0; top-headlines:top:business=0
행동판,오늘 행동판,정상,30,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/v52_action_board_light.csv,2026-05-25 19:28:59,정상적으로 읽을 수 있습니다.
매수,매수 위험·제외,정상,320,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/v52_buy_risk_light.csv,2026-05-25 19:28:59,정상적으로 읽을 수 있습니다.
보유,보유·매도 권장수량,정상,33,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/v52_position_plan_light.csv,2026-05-25 19:29:06,정상적으로 읽을 수 있습니다.
뉴스,국장 뉴스,정상,1,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/gnews_latest_kr.csv,2026-05-25 19:29:06,정상적으로 읽을 수 있습니다.
뉴스,미장 뉴스,정상,1,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/gnews_latest_us.csv,2026-05-25 19:29:06,정상적으로 읽을 수 있습니다.
재무,재무·KPI,없음,0,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/v50_fundamental_cards.csv,-,자동누적/수동 갱신 또는 API 키를 확인하세요.
퀀트,전략 백테스트,정상,36,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/v43_strategy_backtest_summary.csv,2026-05-25 16:09:43,정상적으로 읽을 수 있습니다.
퀀트,추천 보정 후보,정상,422,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/v45_calibrated_candidates.csv,2026-05-25 19:23:26,정상적으로 읽을 수 있습니다.
현재가,현재가 스냅샷,정상,127,/home/runner/work/agnas-stock-app/agnas-stock-app/reports/intraday_realtime_snapshot.csv,2026-05-25 16:09:15,정상적으로 읽을 수 있습니다.
